3 - & Mosquetón con Esmerillón PETER - 1 ce 10 | Bolsa x 100 u. | pe-163
1 - caño  negro multifuncion tricolor 6 mm | mts | ca-400
1 - caño  negro multifuncion tricolor 8 mm | mts | ca-240
1 - caño  presion acetileno rojo tricolor 6 mm | mts | ca-252
1 - caño  presion acetileno rojo tricolor 8 mm | mts | ca-253
1 - caño  presion oxigeno verde tricolor 6 mm | mts | ca-255
1 - caño  presion oxigeno verde tricolor 8 mm | mts | ca-256
1 - caño  presion oxigeno-acetileno tricolor 6-8 | mts | ca-254
1 - caño  presion para gas negro | mts | ca-258
1 - caño  presion rojo tricolor 10 x 50 | mts | ca-265
1 - caño  presion rojo tricolor 13 x 50 | mts | ca-266
1 - caño  presion rojo tricolor 19 x 50 | mts | ca-268
1 - caño  presion rojo tricolor 5 x 50 | mts | ca-269
1 - caño  presion rojo tricolor 6 x 50 | mts | ca-270
1 - caño  presion rojo tricolor 8 x 50 | mts | ca-271
1 - caño alimentario tricolor 3/4" x 30 mts. | mts | ca-304
1 - caño amarillo tricolor hidrocarburo ref. 10x14 | mts | ca-087
1 - caño amarillo tricolor hidrocarburo ref. 12x16 | mts | ca-088
1 - caño amarillo tricolor hidrocarburo ref. 4x8 | mts | ca-093
1 - caño amarillo tricolor hidrocarburo ref. 5x9 | mts | ca-096
1 - caño amarillo tricolor hidrocarburo ref. 6x10 | mts | ca-097
1 - caño amarillo tricolor hidrocarburo ref. 7x11 | mts | ca-099
1 - caño amarillo tricolor hidrocarburo ref. 7x13 | mts | ca-100
1 - caño cristal industrial garden  5 x 8 | mts | ca-178
1 - caño cristal industrial garden  6 x 9 | mts | ca-183
1 - caño cristal industrial garden  7 x 10 | mts | ca-184
1 - caño cristal industrial garden  8 x 10 | mts | ca-174
1 - caño cristal industrial garden  8 x 14 | mts | ca-192
1 - caño cristal industrial garden  9 x 12 | mts | ca-194
1 - caño cristal industrial garden 12 x 16 | mts | ca-197
1 - caño cristal industrial garden 14 x 18 | mts | ca-201
1 - caño cristal industrial garden 16 x 20 | mts | ca-203
1 - caño cristal industrial tricolor  3 x 6 x 100 | mts | ca-210
1 - caño cristal industrial tricolor  7 x 11 x 50 | mts | ca-900
1 - caño cristal industrial tricolor  8 x 14 x 50 | mts | 
1 - caño cristal industrial tricolor  9 x 12 x 50 | mts | 
1 - caño cristal industrial tricolor 10 x 14 x 50 | mts | 
1 - caño cristal industrial tricolor 12 x 16 x 50 | mts | 
1 - caño cristal industrial tricolor 12 x 18 x 50 | mts | 
1 - caño cristal industrial tricolor 15 x 20 x 25 | mts | 
1 - caño cristal industrial tricolor 16 x 20 x 25 | mts | 
1 - caño cristal industrial tricolor 16 x 22 x 25 | mts | ca-204
1 - caño cristal industrial tricolor 19 x 23 x 25 | mts | ca-205
1 - caño cristal industrial tricolor 19 x 25 x 25 | mts | 
1 - caño cristal industrial tricolor 25 x 28 x 25 | mts | ca-207
1 - caño cristal industrial tricolor 25 x 31 x 25 | mts | ca-208
1 - caño cristal industrial tricolor 32 x 38 x 25 | mts | ca-211
1 - caño de cortina zincado oro especial 1/2 x 4 mts | mts | ca-360
1 - caño de cortina zincado oro especial 5/8 x 4 mts | mts | ca-361
3 - caño riego mallado azul reforzado 1/2"x 15 -oferta- | mts | 
3 - caño riego mallado azul reforzado 1/2"x 25 -oferta- | mts | 
3 - caño riego mallado azul reforzado 1/2"x 50 -oferta- | mts | 
3 - caño riego mallado verde Garden sup ref 1/2"x 15 -oferta- | mts | 
3 - caño riego mallado verde Garden sup ref 1/2"x 25 -oferta- | mts | 
2 - caño riego reforzada goma y tela tricolor   1" x 50 | mts | ca-281
2 - caño riego reforzada goma y tela tricolor 1/2"x 50 | mts | ca-283
2 - caño riego reforzada goma y tela tricolor 3/4"x 50 | mts | ca-285
2 - caño riego reforzado  1/2"x 50   oferta 5% | mts | ca-277
2 - caño riego reforzado 1/2"x 100 oferta 5% | mts | ca-275
2 - caño riego reforzado 3/4" x 50 oferta 5% | uni | 
2 - caño riego reforzado Garden 1/2"x 15 | mts | 
2 - caño riego reforzado Garden 1/2"x 25 | mts | 
2 - caño riego reforzado plus solytac 1/2"x 25 | mts | 
2 - caño riego reforzado Tricolor     1" x 50   oferta 5% | mts | ca-273
2 - caño riego reforzado Tricolor  1/2"x 15   oferta 5% | mts | ca-274
2 - caño riego reforzado Tricolor  1/2"x 25   oferta 5% | mts | ca-276
2 - caño riego reforzado Tricolor  3/4"x 50   oferta 5% | mts | ca-279
2 - caño riego reforzado verde tricolor 3/4 x 25 | mts | ca-288
2 - caño riego reforzado verde tricolor 3/4 x 50 | mts | ca-289
2 - caño riego super reforzado tricolor 1/2"x 25 | mts | ca-297
2 - caño riego super reforzado tricolor 1/2"x 50 | mts | ca-298
1 - caño tricolor celeste piletero 32 x 30 | mts | ca-172
1 - caño tricolor celeste piletero 38 x 30 | mts | ca-173
1 - caño tricolor celeste piletero 50 x 30 | mts | ca-170
1 - cemento de reparacion  pomo de 10 cm  x 10 u | blister | ce-005
1 - cemento de reparacion lata de 1 | uni | ce-002
1 - cemento de reparacion lata de 1/4 | uni | ce-004
1 - cemento de reparacion pomo grande | caja x 12 | ce-006
1 - cepillo  calabro 4 x 19 con mango | uni | 
1 - cepillo  calabro 6 x 19 sin mango | uni | ce-023
1 - cepillo  de acero Rhein c/mango plastico | uni | ce-009
0 - Cepillo Circular bronceado en jgo x 6 pzs | blister | 
1 - cepillo conico ondulado  75 mm | uni | ce-011
1 - cepillo conico ondulado 100 mm | uni | ce-010
1 - cepillo copa ondulado 100 mm | uni | ce-012
1 - cepillo copa ondulado 60 mm | uni | ce-013
1 - cepillo copa ondulado 75 mm | uni | ce-014
1 - cepillo copa ondulado vas 6 50 mm | uni | ce-015
1 - cepillo copa ondulado vas 6 75 mm | uni | ce-016
1 - cepillo copa retorcido  60 mm | uni | ce-018
1 - cepillo copa retorcido  75 mm | uni | ce-019
1 - cepillo copa retorcido 100 mm | uni | ce-017
1 - cepillo descarburizador vas. 6 12 mm | uni | ce-020
1 - cepillo descarburizador vas. 6 17 mm | uni | ce-021
1 - cepillo descarburizador vas. 6 24 mm | uni | ce-022
1 - cepillo plano  ondulado vas 6 75 mm | uni | ce-026
1 - cepillo plano  ondulado vas. 6 50 mm | uni | ce-025
1 - cepillo plano ondulado 100 mm | uni | ce-027
1 - cepillo plano ondulado 125 mm | uni | ce-028
1 - cepillo plano ondulado 150 mm | uni | ce-029
1 - cepillo plano ondulado 175 mm | uni | ce-030
1 - cepillo plano ondulado 200 mm | uni | ce-031
1 - cepillo plano ondulado vas 6 100 mm | uni | ce-024
1 - cepillo plano retorcido 100 mm | uni | ce-034
1 - cepillo plano retorcido 115 mm | uni | ce-034
1 - cepillo plano retorcido 150 mm | uni | ce-032
1 - cepillo plano retorcido 175 mm | uni | ce-033
3 - Cerradura Trebol Art. 1411 Arrimar Cajon cil 18 | bolsa | 
3 - Cerradura Trebol Art.103 Puerta Corrediza | bolsa | 
3 - Cerradura Trebol Art.1710 Embutir Cajon cil 18 | bolsa | 
3 - Cerradura Trebol Art.201 Derecha | bolsa | 
3 - Cerradura Trebol Art.201 Izquierda | bolsa | 
3 - Cerradura Trebol Art.202 Derecha | bolsa | 
3 - Cerradura Trebol Art.202 Izquierda | bolsa | 
3 - Cerradura Trebol Art.300 Derecha | bolsa | 
3 - Cerradura Trebol Art.300 Izquierda | bolsa | 
 - chaleco fluor amarillo | u | 
1 - Chocla con polvo | uni | 
1 - Chocla trazadora | uni | 
0 - Cierre magnético Arrimar Blanco | uni | 
1 - cinta de embalar marron x 40 mts | uni | ci-1001
1 - cinta de embalar transparente x 40 mts | uni | ci-102
1 - cinta de embalar transparente x 50 mts | uni | ci-102
1 - cinta de enmascarar 18x50 | uni | ci-103
1 - cinta de enmascarar 24x50 | uni | ci-104
1 - cinta de enmascarar 36x50 | uni | ci-105
1 - cinta de persiana blanca 3 rayas "navegante" | mts | ci-002
1 - cinta de persiana blanca liviana "navegante" | mts | ci-003
1 - cinta de persiana blanca pesada "navegante" | mts | ci-004
1 - cinta metrica  2 mt "essamet" | uni | ci-006
1 - cinta metrica  3 mt  "essamet" | uni | ci-007
1 - cinta metrica  5 mt "essamet" | uni | ci-016
1 - cinta metrica  8 mt "essamet" | uni | ci-010
1 - cinta metrica 15 mt "essamet" | uni | ci-013
1 - cinta metrica 20 mt "essamet" | uni | ci-014
1 - cinta metrica 50 mt "essamet" | uni | ci-018
1 - cinta teflon  1/2 x 10 mts. | uni | ci-019
1 - cinta teflon  3/4 x 10 mts. | uni | ci-020
1 - cinta teflon 1/2 x 20 mts. | uni | ci-021
1 - clavo cabeza chata x 1 kg  6 x 12 "acindar" | kg | 
1 - clavo cabeza chata x 1 kg  7 x 16 "acindar" | kg | cl-001
1 - clavo cabeza chata x 1 kg  7 x 20 "acindar" | kg | cl-002
1 - clavo cabeza chata x 1 kg  8 x 20 "acindar" | kg | cl-003
1 - clavo cabeza chata x 1 kg  8 x 25 "acindar" | kg | cl-004
1 - clavo cabeza chata x 1 kg  8 x 30 "acindar" | kg | cl-005
1 - clavo cabeza chata x 1 kg  9 x 20 "acindar" | kg | cl-006
1 - clavo cabeza chata x 1 kg  9 x 25 "acindar" | kg | cl-007
1 - clavo cabeza chata x 1 kg  9 x 30 "acindar" | kg | cl-008
1 - clavo cabeza chata x 1 kg  9 x 35 "acindar" | kg | cl-009
1 - clavo cabeza chata x 1 kg 10 x 25 "acindar" | kg | cl-010
1 - clavo cabeza chata x 1 kg 10 x 30 "acindar" | kg | cl-011
1 - clavo cabeza chata x 1 kg 10 x 35 "acindar" | kg | cl-012
1 - clavo cabeza chata x 1 kg 10 x 40 "acindar" | kg | cl-013
1 - clavo cabeza chata x 1 kg 12 x 30 "acindar" | kg | cl-037
1 - clavo cabeza chata x 1 kg 12 x 35 "acindar" | kg | cl-017
1 - clavo cabeza chata x 1 kg 12 x 40 "acindar" | kg | cl-018
1 - clavo cabeza chata x 1 kg 12 x 45 "acindar" | kg | cl-019
1 - clavo cabeza chata x 1 kg 12 x 50 "acindar" | kg | cl-020
1 - clavo cabeza chata x 1 kg 14 x 40 "acindar" | kg | cl-021
1 - clavo cabeza chata x 1 kg 14 x 50 "acindar" | kg | 
1 - clavo cabeza chata x 1 kg 15 x 50 "acindar" | kg | 
1 - clavo cabeza perdida x 1 kg  7 x 16 "acindar" | kg | cl-024
1 - clavo cabeza perdida x 1 kg  8 x 20 "acindar" | kg | cl-026
1 - clavo cabeza perdida x 1 kg  8 x 25 "acindar" | kg | cl-027
1 - clavo cabeza perdida x 1 kg  8 x 30 "acindar" | kg | cl-028
1 - clavo cabeza perdida x 1 kg  9 x 20 "acindar" | kg | cl-029
1 - clavo cabeza perdida x 1 kg  9 x 25 "acindar" | kg | cl-030
1 - clavo cabeza perdida x 1 kg  9 x 30 "acindar" | kg | cl-031
1 - clavo cabeza perdida x 1 kg 10 x 25 "acindar" | kg | cl-033
1 - clavo cabeza perdida x 1 kg 10 x 30 "acindar" | kg | cl-034
1 - clavo cabeza perdida x 1 kg 10 x 35 "acindar" | kg | cl-035
1 - clavo cabeza perdida x 1 kg 10 x 40 "acindar" | kg | cl-036
1 - clavo cabeza perdida x 1 kg 12 x 30 "acindar" | kg | cl-038
1 - clavo cabeza perdida x 1 kg 12 x 35 "acindar" | kg | cl-039
1 - clavo cabeza perdida x 1 kg 12 x 40 "acindar" | kg | cl-040
1 - clavo cabeza perdida x 1 kg 12 x 50 "acindar" | kg | cl-041
1 - clavo cabeza perdida x 1 kg 14 x 40 "acindar" | kg | cl-042
1 - clavo cabeza perdida x 1 kg 14 x 50 "acindar" | kg | cl-043
1 - clavo cabeza perdida x 1 kg 15 x 50 "acindar" | kg | cl-044
3 - clavo cabeza plomo 3 x 8 | cien | cl-066
3 - clavo cabeza plomo 4 x 8 | cien | cl-067
1 - clavo de acero  1,8 x 19 mm "PY" | Caja x 100 u. | cl-045
1 - clavo de acero  2,0 x 24 mm "PY" | Caja x 100 u. | cl-046
1 - clavo de acero  2,5 x 25 mm "PY" | Cajita x 100 u | cl-048
1 - clavo de acero  2,5 x 30 mm "PY" | Cajita x 100 u | cl-049
1 - clavo de acero  2,5 x 40 mm "PY" | Cajita x 100 u | cl-050
1 - clavo de acero  2.0 x 18 mm "PY" | Cajita x 100 u | cl-047
1 - clavo de acero  3,3 x 25 mm "PY" | Cajita x 100 u | cl-051
1 - clavo de acero  3,3 x 30 mm "PY" | Cajita x 100 u | cl-052
1 - clavo de acero  3,3 x 50 mm "PY" | cien | cl-054
1 - clavo de acero  3,3 x 60 mm "PY" | cien | cl-053
3 - Clavo para techo moleteado 2 1/2" c/arandela | cien | 
3 - Clavo para techo moleteado 3" c/arandela | cien | 
3 - Clavo para techo moleteado ECO 3" c/arandela | cien | 
1 - clavo punta paris 1" "acindar" bolsa x 1 kg | kg | cl-069
1 - clavo punta paris 1" 1/2" "acindar" bolsa x 1 kg | kg | cl-070
1 - clavo punta paris 2 1/2" "acindar" bolsa x 1 kg | kg | cl-072
1 - clavo punta paris 2" "acindar" bolsa x 1 kg | kg | cl-071
1 - clavo punta paris 3 1/2" "acindar" bolsa x 1 kg | kg | cl-074
1 - clavo punta paris 3" "acindar" bolsa x 1 kg | kg | cl-073
1 - clavo punta paris 4" "acindar" bolsa x 1 kg | kg | cl-075
1 - clavo punta paris 5" "acindar" bolsa x 1 kg | kg | cl-077
1 - clavo punta paris 6" "acindar" bolsa x 1 kg | kg | cl-078
1 - clavo punta paris 7" "acindar" bolsa x 1 kg | kg | cl-079
1 - clavo punta paris 8" "acindar" | kg | pe-285
1 - cortacaños para caños de cobre de 3 a 28 mm | uni | 
1 - cortadora de ceramica K10 Neike N 42 | uni | 
1 - cortadora de ceramica K10 Neike N 50 | uni | 
1 - cortahierro acero 3/4" x 20 cm "el roble" | uni | co-007
1 - cortahierro acero 3/4" x 25 cm "el roble" | uni | co-008
1 - cortahierro acero 3/4" x 30 cm "el roble" | uni | co-009
1 - cortahierro acero 3/4" x 35 cm "el roble" | uni | co-010
1 - cortahierro acero 3/4" x 40 cm "el roble" | uni | co-011
1 - Cortavidrios Tipo Jobo | uni | 
1 - cristal para soldadura tono 10 | uni | 
1 - cristal para soldadura tono 11 | uni | 
1 - cristal para soldadura transparente | uni | 
1 - cuchara de albañil 6 mm "el roble" | uni | cu-002
1 - cuchara de albañil 7 (M) " el roble" | uni | cu-007
1 - cuchara de albañil 7 (M) PB | uni. | 
1 - cuchara de albañil 7 mm "el roble" | uni | cu-003
0 - Cuchara de albañil 7" Onza | uni | 
1 - cuchara de albañil 8 (M) "el roble" | uni | cu-005
1 - cuchara de albañil 8 (M) PB | uni | 
1 - cuchara de albañil 8 mm "el roble" | uni | cu-004
0 - Cuchara de albañil 8 MOCHA Onza | uni | 
0 - Cuchara de albañil 8" Onza | uni | 
1 - cuchara yesero flexible "el roble" | uni | cu-006
1 - Cutter de 18 mm Metalico Reforzado | uni | 
1 - Cutter de 9 mm  Reforzado | uni | 
1 - destornillador "metz" philips 3x75 | uni | de-001
1 - destornillador "metz" philips 4x100 | uni | de-004
1 - destornillador "metz" philips 4x125 | uni | de-005
1 - destornillador "metz" philips 4x50 | uni | de-002
1 - destornillador "metz" philips 4x75 | uni | de-003
1 - destornillador "metz" philips 5x100 | uni | de-007
1 - destornillador "metz" philips 5x125 | uni | de-008
1 - destornillador "metz" philips 5x150 | uni | de-009
1 - destornillador "metz" philips 5x75 | uni | de-006
1 - destornillador "metz" philips 6x100 | uni | de-010
1 - destornillador "metz" philips 6x150 | uni | de-011
1 - destornillador "metz" philips 8x150 | uni | de-012
1 - destornillador "metz" plana 3x75 | uni | 
1 - destornillador "metz" plana 4x100 | uni | de-015
1 - destornillador "metz" plana 4x125 | uni | de-016
1 - destornillador "metz" plana 4x75 | uni | de-014
1 - destornillador "metz" plana 5x100 | uni | de-018
1 - destornillador "metz" plana 5x125 | uni | de-019
1 - destornillador "metz" plana 5x150 | uni | de-020
1 - destornillador "metz" plana 5x75 | uni | de-017
1 - destornillador "metz" plana 6x100 | uni | de-021
1 - destornillador "metz" plana 6x125 | uni | de-022
1 - destornillador "metz" plana 6x150 | uni | de-023
1 - destornillador "metz" plana 8x150 | uni | de-025
1 - destornillador "metz" plana 8x175 | uni | de-024
1 - destornillador accesorio bocallave | uni | de-036
0 - Destornillador c/ 4 puntas intercambiables | uni | 
1 - destornillador phillips "el abuelo" 3 x 60 | uni | de-108
1 - destornillador phillips "el abuelo" 5 x 80 | uni | de-109
1 - destornillador phillips "el abuelo" 6 x 100 | uni | de-110
0 - Destornillador Profesional en jgo x 6 piezas | uni | 
1 - disco abrasivo "koln"   7" gr 100 | uni | ab-077
1 - disco abrasivo "koln"   7" gr 120 | uni | ab-078
1 - disco abrasivo "koln"  4,5 gr 14 | uni | ab-068
1 - disco abrasivo "koln"  4,5 gr 16 | uni | ab-069
1 - disco abrasivo "koln"  4,5 gr 24 | uni | ab-070
1 - disco abrasivo "koln"  4,5 gr 36 | uni | ab-072
1 - disco abrasivo "koln"  4,5 gr 50 | uni | ab-074
1 - disco abrasivo "koln"  4,5 gr 60 | uni | ab-075
1 - disco abrasivo "koln"  4,5 gr 80 | uni | ab-076
1 - disco abrasivo "koln"  7" gr 14 | uni | ab-079
1 - disco abrasivo "koln"  7" gr 16 | uni | ab-080
1 - disco abrasivo "koln"  7" gr 24 | uni | ab-081
1 - disco abrasivo "koln"  7" gr 36 | uni | ab-082
1 - disco abrasivo "koln"  7" gr 50 | uni | ab-084
1 - disco abrasivo "koln"  7" gr 60 | uni | ab-085
1 - disco abrasivo "koln"  7" gr 80 | uni | ab-086
1 - disco abrasivo "koln" 4,5 gr 100 | uni | ab-066
1 - disco abrasivo "koln" 4,5 gr 120 | uni | ab-067
1 - disco abrasivo c/velcro 5" "koln" gr 40 | uni | ab-063
1 - disco abrasivo c/velcro 5" "koln" gr 80 | uni | ab-065
1 - disco abrasivo c/velcro 5" "koln"gr 120 | uni | ab-062
1 - disco abrasivo c/velcro 5" "koln"gr 60 | uni | ab-064
1 - disco carb. Silicio 4,5" x 3,2 "Rhein" | uni | di-001
1 - disco carb. Silicio 4,5" x 5 "Rhein" | uni | di-017
1 - disco carb. Silicio 7"x 3,2 "Rhein" | uni | di-002
1 - disco carb. Silicio 7"x 6,4 "Rhein" | uni | di-018
1 - disco carb. Silicio 9" x 3,2 "Rhein" | uni | di-003
1 - disco de corte c/d ox/al 4,5" x 1,6 "Rhein" | uni | 
1 - disco de corte c/d ox/al 4,5" x 3,2 "Rhein" | uni | di-005
1 - disco de corte c/d ox/al 7"x 3,2  "Rhein" | uni | di-007
1 - disco de corte c/d ox/al 7"x 6,4 "Rhein" | uni | di-006
1 - disco de corte c/d ox/al 9"x 3,2 "Rhein" | uni | di-008
1 - disco de corte plano ox/al  4,5" x 1 "Rhein" | uni | di-009
1 - disco de corte plano ox/al  4,5" x 1,6 "Rhein" oferta | uni | di-010
1 - disco de corte plano ox/al  7"   x 2 "Rhein" | uni | di-011
1 - disco de corte plano ox/al 12" x 2,5"Rhein" | uni | 
1 - disco de corte plano ox/al 14"  x 2,5 "Rhein" | uni | di-012
1 - disco de corte plano ox/al 16"  x 2,5 "Rhein" | uni | di-013
1 - disco de desbaste c/d ox/al 4,5" x 5 "Rhein" | uni | di-014
1 - disco de desbaste c/d ox/al 7" x 6,4 "Rhein" | uni | di-015
1 - disco de desbaste c/d ox/al 9" x 6,4 "Rhein" | uni | di-016
1 - disco diamantado 3 en 1  " Rhein" 4,5 | uni | di-020
1 - disco diamantado continuo "Rhein" 4,5" | uni | di-021
1 - disco diamantado continuo "Rhein" 7" | uni | di-022
1 - disco diamantado continuo "Rhein" 9" | uni | di-023
1 - disco diamantado continuo "Yard" 4,5" | uni | 
1 - disco diamantado continuo "Yard" 7" | uni | 
1 - disco diamantado continuo "Yard" 9" | uni | 
1 - disco diamantado segmentado "Yard" 4,5" | uni | di-024
1 - disco diamantado segmentado "Yard" 7" | uni. | 
1 - disco diamantado segmentado "Yard" 9" | uni | 
1 - disco diamantado segmentado"Rhein" 4,5" | uni | di-025
1 - disco diamantado segmentado"Rhein" 7" | uni | di-026
1 - disco diamantado segmentado"Rhein" 9" | uni | di-027
1 - disco diamantado turbo "Rhein" 4,5" | uni | di-028
1 - disco diamantado turbo "Rhein" 7" | uni | di-029
1 - disco diamantado turbo "Rhein" 9" | uni | di-030
1 - disco diamantado turbo "Yard" 4,5" | uni | 
1 - disco diamantado turbo "Yard" 7" | uni | 
1 - disco diamantado turbo "Yard" 9" | uni | 
1 - disco flap 4,5" grano  60" "rhein" | uni | di-301
1 - disco flap 4,5" grano  80 "rhein" | uni | di-302
1 - disco flap 4,5" grano 120 "rhein" | uni | di-300
1 - disco flap 7" grano  60 "rhein" | uni | 
1 - disco flap 7" grano  80 "rhein" | uni | 
1 - disco flap 7" grano 120 "rhein" | uni | 
1 - disco flap 7" grano 150 "rhein" | uni | 
1 - disco flap 7" grano 40 " rhein" | uni | 
1 - electrodo punta azul 2 mm | kg | 
1 - electrodo punta azul 2,50 mm | kg | 
1 - electrodo punta azul 3,25 mm | kg | 
1 - engrampadora ref. Negra metalica 4 a 14 mm | uni | 
1 - engrampadora ref. Premiun metalica 4 a 14 mm | uni | 
1 - enrollador cortina 4 mt | uni | en-001
1 - enrollador cortina 6 mt | uni | en-002
 - Escalera de aluminio Familiar 5 escalones | uni | 
1 - escuadra albañil de 30 cm. "el roble" | uni | es-050
1 - escuadra albañil de 40 cm. "el roble" | uni | es-005
1 - escuadra albañil de 50 cm. "el roble" | uni | es-006
1 - escuadra carpintero  20 cm | uni | es-002
1 - escuadra carpintero  25 cm | uni | es-003
1 - escuadra carpintero  30 cm | uni | es-004
0 - Eslinga Forrada p/bicicletas de 1,20mts | uni | 
0 - Eslinga p/ motos 22mm x 1,20mt | uni. | 
1 - espatula enduir  nº 120 | uni | es-010
1 - espatula enduir  nº 140 | un | 
1 - espatula enduir  nº 160 | uni | es-011
1 - espatula enduir  nº 180 | uni | 
1 - espatula enduir  nº 200 | uni | es-007
1 - espatula enduir  nº 220 | uni | es-012
1 - espatula enduir  nº 240 El Roble | uni | es-013
1 - espatula pintor 1 1/2" | uni | es-015
1 - espatula pintor 1" | uni | es-014
1 - espatula pintor 2 1/2 | uni | es-017
1 - espatula pintor 2" | uni | 
1 - espatula pintor 4 1/2" | uni | es-009
1 - espatula pintor 4" | uni | es-008
1 - espiga chicote de pvc 3/4 x 50 | uni | es-028
1 - espiga de PVC codo doble | uni | es-029
1 - esquinero cromado angulo ref.  25 mm x 24 u | caja | es-033
1 - esquinero cromado angulo ref.  38 mm x 24 u | caja | es-034
1 - esquinero cromado angulo ref.  50 mm x 24 u | caja | es-035
1 - esquinero cromado angulo ref.  63 mm x 24 u | caja | es-036
1 - esquinero cromado angulo ref.  75mm x 24 u | caja | es-037
1 - esquinero cromado angulo ref.  90 mm x 24 u | caja | es-038
1 - esquinero cromado angulo ref. 100 mm x 12 u | caja | es-030
1 - esquinero cromado angulo ref. 122 mm x 12 u | caja | es-031
1 - esquinero cromado angulo ref. 150 mm x 12 u | caja | es-032
1 - esquinero cromado plano ref.  25 mm x 24 u | caja | es-042
1 - esquinero cromado plano ref.  38 mm x 24 u | caja | es-043
1 - esquinero cromado plano ref.  63 mm x 24 u | caja | es-044
1 - esquinero cromado plano ref.  75 mm x 24 u | caja | es-045
1 - esquinero cromado plano ref.  90 mm x 24 u | caja | es-046
3 - estaño en blister 40 % - oferta | pac | es-047
3 - estaño en blister 50 % - oferta | pac | es-048
3 - estaño en blister 60 % - oferta | pac | es-049
2 - flexible cromado "chicote" 3/4 x 20 | uni | fl-018
2 - flexible cromado "chicote" 3/4 x 25 | uni | fl-019
2 - flexible cromado "chicote" 3/4 x 30 | uni | fl-020
2 - flexible cromado "chicote" 3/4 x 35 | uni | fl-021
2 - flexible cromado "chicote" 3/4 x 40 | uni | 
2 - flexible cromado 1/2 x 20 "caf" | uni | fl-012
2 - flexible cromado 1/2 x 25 "caf" | uni | fl-013
2 - flexible cromado 1/2 x 30 "caf" | uni | fl-014
2 - flexible cromado 1/2 x 35 "caf" | uni | fl-015
2 - flexible cromado 1/2 x 40 "caf" | uni | fl-016
2 - flexible cromado 1/2 x 45 "caf" | uni | fl-022
2 - flexible cromado 1/2 x 50 "caf" | uni | 
2 - flexible mallado 1/2 x  30 "caf" | uni | fl-006
2 - flexible mallado 1/2 x  40 "caf" | uni | fl-007
2 - flexible mallado 1/2 x  50 "caf" | uni | fl-008
2 - flexible mallado 1/2 x  60 "caf" | uni | fl-009
2 - flexible mallado 1/2 x  80 "caf" | uni | fl-010
2 - flexible mallado 1/2 x 100 "caf" | uni | fl-011
1 - formon cabo madera  6 mm | uni | fo-001
1 - formon cabo madera  8 mm | uni | fo-002
1 - formon cabo madera 10 mm- | uni | fo-003
1 - formon cabo madera 12 mm | uni | fo-005
1 - formon cabo madera 16 mm | uni | fo-008
1 - formon cabo madera 19 mm | uni | fo-007
1 - formon cabo madera 22 mm | uni | fo-009
1 - formon cabo madera 26 mm | uni | fo-011
1 - fratacho de algarrobo 30 cm. | uni | fr-
1 - fratacho de algarrobo 35 cm. | uni | fr-
1 - fratacho de algarrobo 40 cm. | uni | 
 - gafa de seguridad PVC covid 19 | uni | 0
3 - Gancho "J" 1/4 x 50 c/ accesorios zinc. | uni | 
3 - Gancho "J" 1/4 x 60 c/ accesorios zinc. | uni | 
1 - Gancho media sombra de nylon | uni | ga-001
1 - Gancho para hamaca paraguaya | uni | 
1 - Gancho plásticos para soga | uni | ga-002
1 - goma de honda reforzada x 20 u | bolsa | go-501
1 - gomita para flexible con malla | uni | go-002
1 - grampa  pasacable coaxil Py  6 x 50 u | caja | gr-001
1 - grampa  pasacable coaxil Py  8 x 50 u. | caja | gr-002
1 - grampa  pasacable plana Py  5 x 100 u. | caja | gr-003
1 - grampa  pasacable plana Py  8  x 50 u. | caja | gr-004
1 - grampa  pasacable plana Py 10 x 50 u. | caja | gr-005
1 - grampa cobreada nº 10 "acindar" | kg | gr-014
1 - grampa cobreada nº 9 "acindar" | kg | gr-013
1 - Grampas para Engrampadora de 10 mm x 1000 unidades | caja | 
1 - Grampas para Engrampadora de 12 mm x 1000 unidades | caja | 
1 - Grampas para Engrampadora de 8 mm x 1000 unidades | set | 
1 - grinfa  6 mm  "el roble" | uni | gr-008
1 - grinfa  8 mm  "el roble" | uni | gr-006
1 - grinfa 10 mm  "el roble" | uni | gr-007
1 - grinfa 12 mm  "el roble" | uni | gr-008
1 - grinfa 14 mm  "el roble" | uni | gr-009
1 - grinfa 16 mm  "el roble" | uni | gr-010
1 - guante de algodon con motas Profesional Tacolatex | uni | gu-002
1 - guante de algodón con motas Reforzado Tacolatex | uni | pe-287
1 - guante latex industrial tycel cp 11 | un | gu-013
1 - guante latex industrial tycel ll  9 | uni | gu-014
1 - guante latex industrial tycel ll  9 1/2 | uni | gu-015
1 - guante latex industrial tycel ll 10 | uni | gu-016
1 - guante latex industrial tycel ll 10 1/2 | uni | gu-017
1 - guante latex industrial tycel ll 11 | uni | gu-017
1 - guante latex industrial tycel lp  8 | uni | gu-024
1 - guante latex industrial tycel lp  9 | uni | gu-019
1 - guante latex industrial tycel lp  9 1/2 | uni | gu-020
1 - guante latex industrial tycel lp 10 | uni | gu-021
1 - guante latex industrial tycel lp 10 1/2 | uni | gu-022
1 - guante latex industrial tycel lp 11  | uni | gu-023
1 - hachita con cabo 600 gr | uni | ha-003
1 - hachita con cabo 700 gr | uni | ha-004
1 - hachita con cabo 800 gr | uni | ha-005
1 - hachuela albañil c/cabo "el roble" | uni | ha-006
1 - hilo encerado chico natural | uni | hi-003
1 - hilo encerado chico negro | uni | hi-004
