3 - & Mosquetón con Esmerillón PETER - 1 ce 10 | Bolsa x 100 u. | pe-163
3 - *cable Audio Video 2 RCA Macho 1,80 mts. JA -TVC0152 | uni | 
3 - *cable Audio Video 3 RCA Macho 1,80mts.JA -TVC0153 | uni | 
3 - *cable canal 14 x 7 mm con adhesivo *Oferta* -TA069 | mts | 
3 - *Cable Canal 14 x 7 mm con Adhesivo Kalop | mts | 
3 - *Cable Canal 18 x 21 con Adhesivo Kalop | mts | 
3 - *cable canal 18 x 21 mm con adhesivo *Oferta* -TA081 | mts | 
3 - *Cable Canal 20 x 10 con Adhesivo Kalop | mts | 
3 - *cable canal 20 x 10 mm con adhesivo *Oferta* -TA071 | mts | 
3 - *cable Coaxil RG6 50% bob. 500 mts Oferta | mts | 
3 - *Cable Telefonico Blanco 2 mts. Espiral . JA TEC112B | uni | 
3 - *Cable Telefonico Blanco 4 mts Plano. JA -TEC104B | uni | 
3 - *Cable Telefonico Negro 2 mts. Espiral. JA -TEC112N | uni | 
3 - *Cable Telefonico Negro 4 mts. Plano. JA -TEC104N | uni | 
3 - *Cable Video Macho a 2 RCA Macho 2 mts. JA -TVC0150 | uni | 
3 - *Cable Video Macho a Macho plug & plug 2 mts. JA -TVC0149 | uni | 
3 - *Caja Cable Canal Completa  Blister *Oferta* -TA064 | uni | 
3 - *Caja Cable canal ECO 10 X 5 *Oferta* -TA067 | uni | 
3 - *Caja con tapa de embutir Exterior 1 a 2 bocas *Oferta* -TA065 | uni | 
3 - *Caja con tapa de embutir Exterior 2 a 4 bocas *Oferta*   -TA066 | uni | 
3 - *Caja con tapa de embutir Exterior 4 a 8 bocas *Oferta* -TA079 | uni | 
3 - *Caja con tapa de embutir Exterior 8 a 12 bocas *Oferta*-TA0105 | uni | 
3 - *Caja Octogonal metalica Chica | uni | 
3 - *Caja Octogonal metalica Grande | uni | 
3 - *Caja Rectangular metalica Chica | uni | 
3 - *Caja Rectangular Plastica Chica | uni | 
3 - *Caja Stanco 90x90x55 -TA0113 | uni | 
3 - *Capuchon de Goma p/conector F. JA -TVC0059 | uni | 
3 - *Cinta aisladora Tacsa negra x 10m  oferta | uni | 
3 - *Cinta aisladora Tacsa negra x 20m  oferta | uni | 
1 - *Cinta pasacable 15 mts Nacional -oferta | uni | ci-022
3 - *Cinta pasacable x 10 mts Nacional- oferta | uni | 
3 - *Cinta Pasacable x 10 mts. -NL002 | uni | 
3 - *Cinta Pasacable x 7 mts -NL001 | uni | 
3 - *Clip para Bateria 9v. JA -PPI0700 | un | 
3 - *Conector F c/ anillo rosca RG6. JA -TVC0040 | uni | 
3 - *Conector F c/ Pollera RG59. JA- TVC0044 | uni | 
3 - *Conector F c/ Rosca RG-59. JA -TVC0042 | uni | 
3 - *Conector F c/anillo rosca RG59. JA - TVC0041 | uni | 
3 - *Conector F c/Rosca RG6. JA -TVC0043 | uni | 
3 - *Conector F con Pollera RG6. JA -TVC0045 | uni | 
3 - *Conector Hembra 75 ohms Pin Grueso. JA -TVF0004 | uni | 
3 - *Conector hembra balum p/ interior. JA -TVF0024 | uni | 
3 - *Conector macho 300-75 ohms pin fino. JA -TVF0023 | uni | 
3 - *Conector Macho 300-75 omsh. JA -TVF0021 | uni | 
3 - *Conector Macho 75 ohms Pin Fino. JA -TVF0003 | uni | 
3 - *Conector macho 75 ohms Pin Grueso. JA-TVF0002 | uni | 
3 - *Conector macho con Rj11p/ linea. JA -TEF0011 | uni | 
3 - *Conector metalico para caja  7/8 | uni | 
3 - *Conector metalico para caja 3/4 | uni | 
3 - *Conector Premium Macho 75 ohms Pin Fino. JA -TVF0017 | uni | 
3 - *Conector Premiun Macho 75 ohms Pin Grues.JA -TVF0018 | uni | 
3 - *Corrugado 3/4 Blanco Ignifugo x 25 mts. | uni | 
3 - *Corrugado 7/8 Blanco Ignifugo x 25 mts. | uni | 
3 - *Crimpeadora Metalica. JA - CRI200B | uni | 
3 - *Derivador 2 Vias Baja Perdida. JA -TVD1012 | uni | 
3 - *Derivador 2 Vias c/ accesorios. JA -TVD0032 | uni | 
3 - *Derivador 3 Vias Baja Perdida. JA -TVD1013 | uni | 
3 - *Derivador 3 Vias c/ accesorios. JA -TVD0033 | uni | 
3 - *Derivador 4 Vias Baja Perdida. JA -TVD1014 | uni | 
3 - *Derivador 4 Vias c/ accesorios. JA- TVD0034 | uni | 
3 - *Derivador 6 vias Baja Perdida. JA -TVD1016 | uni | 
3 - *Disyuntor 2 x 40 A modelo INT-F-362-40A - 401379 | uni | 
3 - *Disyuntor Bipolar 25A SICA | uni | 
3 - *Disyuntor Bipolar 40A SICA | uni | 
3 - *Ficha Adaptadora 2 a 3 K*L*P -ND036 | uni | 
3 - *Ficha macho s/lateral p/plano *Oferta* -TA030 | uni | 
3 - *Ficha macho s/lateral p/redondo *Oferta* -TA028 | uni | 
3 - *Ficha Para Calefon / Plancha Hembra con Resorte -ND030 | uni | 
3 - *Ficha tipo K*L*P Hembra -ND048 | uni | 
3 - *Ficha tipo K*L*P Macho - ND047 | uni | 
3 - *Ficha triple perno plano *Oferta* -NT017 | uni | 
3 - *Ficha triple perno redondo *Oferta* -NT025 | uni | 
3 - *Filtro ADSL 2 puertos x 10 unidades. JA -TET0093 | uni | 
3 - *Guirnalda exterior   5 mts - ND0021 | uni | 
3 - *Guirnalda exterior 10 mts -ND0022 | uni | 
3 - *Herramienta Multipropósito. JA -PZA5019 | uni | 
3 - *Lampara DICROICA 50 EXN 38° | uni | 
3 - *Lampara Emergencia de 100 LEDS C/ bateria Sica | uni | 
3 - *Lampara Emergencia de 36 LEDS C/ bateria Nova | uni | 
3 - *Lampara Emergencia de 51 LEDS C/ bateria nova | uni | 
3 - *Lampara Emergencia LED  9 W | uni. | 
3 - *Lampara Emergencia LED 10 W | uni | 
3 - *Lampara Emergencia LED 12 W | uni | 
3 - *Lampara Espiralada Rep. Insectos 20W 8000 hs | uni | 
3 - *Lampara Espiralada Roja 15W 8000 HS | uni | 
3 - *Lampara Halogena 70W=100W clara | uni | 
3 - *Lampara Halogena Gota 28W=40W Nova | uni | 
3 - *Lampara Halogena Gota 42W=60W Nova | uni | 
3 - *Lampara Halogena Perfume maq coser-heladera 24W France | uni | 
3 - *Lampara Halogena Perfume-maq coser-heladera 15W France | uni | 
3 - *Lampara Halogena Vela 28W=40W rosca E14 Nova | uni | 
3 - *Lampara Halogena Vela 42W=60W Nova | uni | 
3 - *Lampara Interelec Espiralada 15W  6000 hs | uni | 
3 - *Lampara Interelec Espiralada 26W   6000 hs. | uni | 
3 - *Lampara Interelec Recta 3 tubos 15W  6000 hs | uni | 
3 - *Lampara Interelec Recta 3 tubos 20W  6000 hs. | uni | 
3 - *Lampara Interelec Recta 3 tubos 26W  6000 hs. | uni | 
3 - *Lampara Led 10W Luz Calida Nova | uni | 
3 - *Lampara Led 10W Luz Fria BORUS | uni | 
3 - *Lampara Led 10W Luz Fria Nova | uni | 
3 - *Lampara Led 12W Luz Calida Nova | uni | 
 - *Lampara Led 12W Luz Fria BORUS | uni. | 
 - *Lampara Led 12W Luz Fria Nova | uni | 
3 - *Lampara Led 15W Luz Calida Nova | uni | 
3 - *Lampara Led 15W Luz Fria Nova | uni | 
3 - *Lampara Led 20W Alta Potencia Nova | uni | 
0 - *Lampara Led 30W Alta Potencia JA | uni | 
3 - *Lampara Led 30W Alta Potencia Nova | uni | 
3 - *Lampara Led 40W Alta Potencia JA | uni | 
3 - *Lampara Led 40W Alta Potencia Nova | uni | 
3 - *Lampara Led 50W Alta Potencia JA | uni. | 
3 - *Lampara Led 50W Alta Potencia Nova | uni | 
3 - *Lampara Led 7W Luz Cálida  Nova | uni | 
 - *Lampara Led 7W Luz Fria Nova | uni | 
3 - *Lampara Led DICROICA 6W Luz Fria Nova | un | 
 - *Lampara Led Filamento   8 W Nova Luz Calida. Nueva! | un | 
 - *Lampara Led Filamento 6,5 W BGH Luz Calida. Nueva! | un | 
3 - *Lampara Led Gota 6W Luz Calida E-14 Nova | uni | 
3 - *Lampara Led Gota 6W Luz Calida E-27 Nova | uni | 
3 - *Lampara Led Gota 6W Luz Fria E-14 Nova | uni | 
3 - *Lampara Led Gota 6W Luz Fria E-27 Nova | uni | 
3 - *Lampara Led Reflectiva 10W Nova | uni | 
3 - *Lampara Led Vela 6W Luz Calida E-14 Nova | uni | 
3 - *Lampara Led Vela 6W Luz Calida E-27 Nova | uni | 
 - *Lampara Led Vela 6W Luz Fria E-14 Nova | uni | 
3 - *Lampara Led Vela 6W Luz Fria E-27 Nova | uni | 
3 - *Lampara maq coser- 24W Rosca E-14 | uni | 
3 - *Lampara maq de coser 25W Bayoneta a presion | uni | 
3 - *Lampara Mezcladora 250W E/40 BAW | uni | 
3 - *Lampara Mezcladora E-27  250W Edison | uni | 
3 - *Lampara Mezcladora E-40  250W Goliath | uni | 
3 - *Lampara Rayovac Espiral 20W Luz Dia 10000 hs | uni | 
3 - *Lampara Ultracompacta Espiralada 14W 8000 hs. | uni | 
3 - *Lampara Ultracompacta Espiralada 20W 8000 hs | uni | 
3 - *Lampara Ultracompacta Espiralada 9W 8000 hs | uni | 
3 - *Linterna de cabeza led frontal | uni. | 
3 - *Linterna Rayovac  3 LED | uni | 
3 - *Linterna Recargable Rayovac 5 LED | uni | 
3 - *Linterna Recargable Rayovac 7 LED | uni | 
3 - *Liston Armado 1 x 20 Interelec x 12 - 400940 | uni | 
3 - *Liston Armado 1 x 40 Interelec caja x 12 - 400942 | uni | 
3 - *Liston para tubo led de 18W Nova | uni | 
3 - *Liston para tubo led de 9W Nova | uni | 
3 - *Llave 1 punto interruptor 1 toma -SE709/TA203 | uni | 
3 - *Llave 1 punto interruptor -SE702/TA204 | uni | 
3 - *Llave 1 toma biuso -SE701 | uni | 
3 - *Llave 1 toma telefono -SE717/TA206 | uni | 
3 - *Llave 1 toma TV. -SE712 | uni | 
3 - *Llave 2 puntos 1 toma -SE715 | uni | 
3 - *Llave 2 puntos Interruptor -SE707/TA205 | uni | 
3 - *Llave 2 tomacorrientes -SE710/TA201 | uni | 
3 - *Llave 2 tomas 1 punto -SE714 | uni | 
3 - *Llave 3 punto interruptor -SE711 | uni | 
3 - *Llave 3 tomacorrientes -SE713 | uni | 
3 - *Llave Bipolar x 20 Amp. Naranja *Oferta* -TA012 | uni | 
3 - *Llave Bipolar x 20 Amp. Negra *Oferta* -TA011 | uni | 
3 - *Llave exterior 1 combinacion *Oferta* -TA074 | uni | 
3 - *Llave exterior 1 interruptor *Oferta* -TA072 | uni | 
3 - *Llave exterior 1 interruptor 1 tomacorriente *Oferta* -TA077 | uni | 
3 - *Llave exterior 1 pulsador *Oferta* -TA073 | uni | 
3 - *Llave exterior 1 toma de 20 Amp. *Oferta* -TA084 | uni | 
3 - *Llave exterior 1 tomacorriente *Oferta* -TA075 | uni | 
3 - *Llave exterior 2 interruptor *Oferta* -TA076 | uni | 
3 - *Llave exterior 2 tomacorrientes *Oferta* -TA078 | uni | 
3 - *Llave termica 1 x 10A   INT-U10 caja x 12 - 401343 | uni | 
3 - *Llave termica 1 x 16A   INT-U16 caja x 12 - 401344 | uni | 
3 - *Llave termica 1 x 20A   INT-U20 caja x 12  - 401345 | uni | 
3 - *Llave termica 1 x 25A   INT-U25 caja x 12 - 401346 | uni | 
3 - *Llave termica 1 x 32A   INT-U32 caja x 12 - 401347 | uni | 
3 - *Llave termica 2 x 10A   INT-B10 caja x 6 - 401352 | uni | 
3 - *Llave termica 2 x 16A   INT-B16 caja x 6 - 401352 | uni | 
3 - *Llave termica 2 x 20A   INT-B20 caja x 6 - 401354 | uni | 
3 - *Llave termica 2 x 25A   INT-B25 caja x 6 - 401355 | uni | 
3 - *Mig 113 Ficha Bipolar C/TT Salida Lateral *Oferta* | uni | 
3 - *Mig 120 Ficha Bipolar C/TT Salida Lateral *Oferta* | uni | 
3 - *Mig 121 Ficha Bipolar C/TT Salida longitudinal *Oferta* | uni | 
3 - *Mig 141 Ficha Bipolar Alto Consumo 10A-250V *Oferta* | uni | 
3 - *Mig 142 Ficha Bipolar Alto Consumo 20A-250V *Oferta* | uni | 
3 - *Mig 211 (nuevo230)Ficha Tapa Urea 2 Bocas *Oferta* | uni | 
3 - *Mig 212 Ficha Tapa Urea 3 Bocas *Oferta* | uni | 
3 - *Mig 215 Ficha Adaptadora Triple 10A-220V *Oferta* | uni | 
3 - *Mig 218 Ficha Bipolar Alto Consumo 10A-220V *Oferta* | uni | 
3 - *Mig 219 Interruptor para Velador *Oferta* | uni | 
3 - *Mig 223 Ficha  Adaptadora 10A pernos redondos "Oferta" | uni | 
3 - *Mig 224 Ficha Adaptadora 10A pernos planos "Oferta" | uni | 
3 - *Mig 227 Enchufe Bipolar C/TT Salida longitudinal *Oferta* | uni | 
3 - *Mig 231 Ficha Bipolar 16A L. INDUSTRIAL *Oferta* | uni | 
3 - *Mig 232( nuevo 234) Ficha Bipolar C/TT 16A L. INDUSTRIAL *Oferta* | uni | 
3 - *Mig 233 Ficha Tripolar 16A L. INDUSTRIAL *Oferta* | uni | 
3 - *Mig 236 Ficha Bipolar 32A L. INDUSTRIAL *Oferta* | uni | 
3 - *Mig 238 Ficha Tripolar 32A L. INDUSTRIAL *Oferta* | uni | 
3 - *Mig 239 Ficha Tripolar C/TT 32A LINEA INDUSTRIAL *Oferta* | uni | 
3 - *Mig 242 Enchufe Bipolar C/TT 20A *Oferta* | uni | 
3 - *Mig 250 Enchufe Bipolar C/TT Alto Consumo *Oferta* | uni | 
3 - *Mig 251 Toma Corriente Bipolar 16A L. INDUSTRIAL *Oferta* | uni | 
3 - *Mig 253 Toma Corriente Tripolar 16A L. INDUSTRIAL *Oferta* | uni | 
3 - *Mig 254 Toma Corriente Tripolar C/TT 16A L. INDUSTRIAL *Oferta* | uni | 
3 - *Mig 256 Toma Corriente Bipolar 32A L. INDUSTRIAL *Oferta* | uni | 
3 - *Mig 258 Toma Corriente Tripolar 32A L. INDUSTRIAL *Oferta* | uni | 
3 - *Mig 259 Toma Corriente Tripolar C/TT 32A  L. INDUSTRIAL *Oferta* | uni | 
3 - *Mig C802 Caja Capsulada Armada c/interruptor unipolar | uni | 
3 - *Mig C811 Caja Capsulada Armada c/toma combinado | uni | 
3 - *Mig C829/C819 Caja Capsulada Armada Interruptor y Toma 10 A | uni | 
3 - *Mig E401R Tomacorriente Bipolar *Oferta* | uni | 
3 - *Mig E402R Interruptor Unipolar | uni | 
3 - *Mig E407R Doble Interruptor Unipolar *Oferta* | uni | 
3 - *Mig E412R/409R Interruptor y Toma Corriente 10A-250V *Oferta* | uni | 
3 - *Mig E418R Toma Corriente 20A-250V *Oferta* | uni | 
3 - *Mig E420R(nuevo 421) Toma doble bipolar 10A-250V *Oferta* | uni | 
3 - *Modulo Bastidor blanco *Oferta* -S91-00 | uni | 
3 - *Modulo Interruptor blanco *Oferta* -S11-00/TA209 | uni | 
3 - *Modulo Interruptor Combinación *Oferta* -S31-00/TA210 | uni | 
3 - *Modulo JELUZ Punto | uni | 
3 - *Modulo JELUZ Punto Combinacion | uni | 
3 - *Modulo JELUZ Tapa Bastidor | uni | 
3 - *Modulo JELUZ Tapon Ciego | un | 
3 - *Modulo JELUZ Toma | uni | 
3 - *Modulo JELUZ Toma 20 A. | uni | 
3 - *Modulo tapon ciego *oferta* - S81-00/TA213 | uni | 
3 - *Modulo Toma 20 amp. Blanco *Oferta* -S43-00 | uni | 
3 - *Modulo Tomabiuso Blanco *Oferta* -S41-00/TA208 | uni | 
